,RegionName,MsaName,year,rent_price,median_income,income_per_capita,income_200000_or_more,owner_occupied_housing_units_median_value,median_rent,million_dollar_housing_units
171,34711,"Orlando, FL",2014,1122.0,60689.0,26969.0,573.0,171800.0,962.0,96
172,30052,"Atlanta, GA",2014,1187.75,64993.0,24545.0,479.0,151800.0,896.0,49
173,77095,"Houston, TX",2014,1218.909090909091,88555.0,36634.0,2303.0,168400.0,927.0,0
174,07002,"New York, NY",2014,1242.6666666666667,55224.0,28595.0,869.0,324400.0,989.0,85
175,30041,"Atlanta, GA",2014,1491.4166666666667,96439.0,39660.0,2389.0,285200.0,941.0,356
176,33009,"Miami-Fort Lauderdale, FL",2014,1357.0833333333333,33212.0,24844.0,437.0,137000.0,965.0,115
177,94536,"San Francisco, CA",2014,2027.4545454545455,92107.0,38245.0,2940.0,564400.0,1437.0,275
178,89052,"Las Vegas, NV",2014,1119.8333333333333,75307.0,40744.0,1947.0,304100.0,1168.0,389
179,74012,"Tulsa, OK",2014,1009.8333333333334,63339.0,28920.0,820.0,150400.0,757.0,19
180,10457,"New York, NY",2014,1150.3,24883.0,12768.0,58.0,393300.0,918.0,7
181,80634,"Greeley, CO",2014,1118.5,60815.0,28770.0,589.0,189500.0,777.0,109
182,43026,"Columbus, OH",2014,1236.125,77973.0,33854.0,1220.0,179000.0,720.0,17
183,92592,"Riverside, CA",2014,1782.9166666666667,89541.0,30966.0,1258.0,333200.0,1531.0,243
184,89117,"Las Vegas, NV",2014,929.1666666666666,55095.0,32562.0,1056.0,228500.0,898.0,234
185,30080,"Atlanta, GA",2014,1099.1666666666667,51697.0,36773.0,1854.0,208400.0,785.0,76
186,20001,"Washington, DC",2014,2143.090909090909,83035.0,44841.0,2110.0,498800.0,1357.0,186
187,29072,"Columbia, SC",2014,887.125,73797.0,34756.0,1270.0,204700.0,836.0,130
188,46227,"Indianapolis, IN",2014,899.7,36452.0,19954.0,182.0,116200.0,616.0,12
189,32244,"Jacksonville, FL",2014,1061.0,47313.0,20921.0,161.0,100900.0,792.0,32
190,21117,"Baltimore, MD",2014,1524.75,77140.0,41141.0,2054.0,279100.0,1147.0,369
191,10027,"New York, NY",2014,2293.0,40013.0,27977.0,1529.0,664600.0,873.0,903
192,91730,"Riverside, CA",2014,1696.4166666666667,61952.0,26152.0,537.0,289900.0,1296.0,89
193,75206,"Dallas-Fort Worth, TX",2014,1150.1666666666667,52889.0,43451.0,1425.0,273000.0,902.0,19
194,90004,"Los Angeles-Long Beach-Anaheim, CA",2014,1681.5,38493.0,26575.0,1341.0,724900.0,983.0,1146
195,37128,"Nashville, TN",2014,1140.25,60683.0,27057.0,355.0,171900.0,846.0,55
196,92109,"San Diego, CA",2014,1729.8181818181818,67025.0,47007.0,1697.0,685300.0,1371.0,1149
197,30062,"Atlanta, GA",2014,1272.25,87302.0,39882.0,2594.0,247900.0,845.0,125
198,60628,"Chicago, IL",2014,1033.5,37038.0,17007.0,166.0,122100.0,747.0,36
199,07093,"New York, NY",2014,1596.6666666666667,46987.0,27276.0,1275.0,316200.0,1052.0,89
200,32822,"Orlando, FL",2014,926.1666666666666,32554.0,16709.0,83.0,82700.0,789.0,18
201,30331,"Atlanta, GA",2014,1037.6666666666667,40847.0,22956.0,648.0,143500.0,728.0,30
202,75217,"Dallas-Fort Worth, TX",2014,860.75,35786.0,12281.0,101.0,72400.0,669.0,43
203,02360,"Boston, MA",2014,1533.0,76925.0,36787.0,1591.0,322800.0,1127.0,205
204,37130,"Nashville, TN",2014,918.75,38042.0,23131.0,523.0,163100.0,643.0,153
205,33186,"Miami-Fort Lauderdale, FL",2014,1656.4166666666667,62356.0,25474.0,609.0,208100.0,1284.0,0
206,02155,"Boston, MA",2014,2038.6666666666667,77945.0,35492.0,1331.0,392700.0,1306.0,57
207,10701,"New York, NY",2014,1749.625,45893.0,24114.0,904.0,352900.0,1082.0,77
208,91342,"Los Angeles-Long Beach-Anaheim, CA",2014,1533.3636363636363,60899.0,19891.0,572.0,328200.0,1191.0,77
209,90706,"Los Angeles-Long Beach-Anaheim, CA",2014,1349.4,49360.0,20216.0,609.0,341700.0,1107.0,67
210,92335,"Riverside, CA",2014,1220.1818181818182,43092.0,13422.0,148.0,184600.0,930.0,115
211,95123,"San Jose, CA",2014,2081.7,90881.0,36350.0,1983.0,531600.0,1706.0,154
212,92021,"San Diego, CA",2014,1334.6666666666667,50035.0,22166.0,524.0,300900.0,1048.0,100
213,87121,"Albuquerque, NM",2014,971.0833333333334,41856.0,15710.0,83.0,126500.0,725.0,33
214,11372,"New York, NY",2014,1678.75,46402.0,25416.0,776.0,264300.0,1168.0,57
215,22193,"Washington, DC",2014,1622.0,89415.0,32181.0,2531.0,262800.0,1302.0,19
216,60649,"Chicago, IL",2014,785.0,27723.0,19763.0,209.0,162000.0,735.0,36
217,33063,"Miami-Fort Lauderdale, FL",2014,1258.0,43633.0,24179.0,358.0,113400.0,1094.0,24
218,27703,"Durham, NC",2014,1136.3333333333333,54674.0,24280.0,346.0,151300.0,704.0,0
219,23454,"Virginia Beach, VA",2014,1331.9166666666667,65234.0,33938.0,1509.0,285400.0,1041.0,463
220,60626,"Chicago, IL",2014,981.4166666666666,37109.0,24927.0,469.0,194200.0,799.0,53
221,33064,"Miami-Fort Lauderdale, FL",2014,1289.25,41203.0,23741.0,700.0,113500.0,946.0,520
222,48185,"Detroit, MI",2014,854.1111111111111,43405.0,26322.0,276.0,93900.0,671.0,33
223,92627,"Los Angeles-Long Beach-Anaheim, CA",2014,1946.9166666666667,57708.0,29897.0,1278.0,557000.0,1387.0,706
224,33027,"Miami-Fort Lauderdale, FL",2014,1696.5,63513.0,30190.0,1231.0,217700.0,1330.0,23
225,33311,"Miami-Fort Lauderdale, FL",2014,1207.3333333333333,31001.0,15051.0,98.0,110100.0,820.0,34
226,20147,"Washington, DC",2014,2005.5833333333333,123119.0,48597.0,4261.0,453600.0,1535.0,341
227,90025,"Los Angeles-Long Beach-Anaheim, CA",2014,2186.8333333333335,71278.0,47739.0,2181.0,680300.0,1509.0,863
228,20878,"Washington, DC",2014,1855.0833333333333,115826.0,52955.0,5063.0,535500.0,1470.0,645
229,30022,"Atlanta, GA",2014,1505.4166666666667,97819.0,43196.0,3708.0,321500.0,996.0,267
230,30004,"Atlanta, GA",2014,1362.4166666666667,96036.0,47025.0,3814.0,329700.0,1012.0,540
231,23666,"Virginia Beach, VA",2014,1044.4166666666667,54522.0,27442.0,310.0,202900.0,847.0,81
232,85142,"Phoenix, AZ",2014,1058.9166666666667,71927.0,26346.0,815.0,197600.0,983.0,9
233,98682,"Portland, OR",2014,1078.6363636363637,59325.0,22819.0,299.0,185100.0,900.0,9
234,95035,"San Jose, CA",2014,2261.7,98899.0,34214.0,2682.0,547400.0,1691.0,577
235,91710,"Riverside, CA",2014,1847.25,71825.0,23588.0,936.0,338500.0,1214.0,74
236,23223,"Richmond, VA",2014,1007.0,36960.0,22058.0,330.0,152500.0,645.0,25
237,11218,"New York, NY",2014,1894.3333333333333,54441.0,24828.0,1198.0,571800.0,1246.0,832
238,27713,"Durham, NC",2014,1128.3333333333333,67171.0,37536.0,1439.0,204200.0,826.0,31
239,77082,"Houston, TX",2014,1076.125,50894.0,30074.0,906.0,125200.0,835.0,198
240,94544,"San Francisco, CA",2014,1556.888888888889,59699.0,22943.0,895.0,323500.0,1221.0,95
241,11223,"New York, NY",2014,1468.0,40873.0,22570.0,913.0,612400.0,1029.0,937
242,60622,"Chicago, IL",2014,1630.5,71019.0,44186.0,2623.0,409200.0,1027.0,445
243,29464,"Charleston, SC",2014,1389.4166666666667,69736.0,43454.0,2038.0,352100.0,1111.0,806
244,60616,"Chicago, IL",2014,1543.8333333333333,43554.0,27632.0,705.0,292100.0,839.0,93
245,80015,"Denver, CO",2014,1514.6666666666667,82730.0,33216.0,1495.0,246400.0,1134.0,50
246,20019,"Washington, DC",2014,1421.2,35050.0,21135.0,300.0,215200.0,769.0,69
247,10021,"New York, NY",2014,2513.5833333333335,109398.0,115478.0,7065.0,1000001.0,1813.0,5162
248,80525,"Fort Collins, CO",2014,1174.3333333333333,63445.0,34714.0,1073.0,273600.0,968.0,139
249,30127,"Atlanta, GA",2014,1126.1666666666667,72406.0,30022.0,1130.0,160300.0,933.0,0
250,33313,"Miami-Fort Lauderdale, FL",2014,1108.9166666666667,34282.0,15570.0,63.0,78900.0,843.0,0
251,90027,"Los Angeles-Long Beach-Anaheim, CA",2014,1541.7272727272727,50316.0,37794.0,1466.0,801700.0,1135.0,1423
252,37064,"Nashville, TN",2014,1559.0833333333333,78199.0,37664.0,2093.0,310100.0,804.0,435
253,37066,"Nashville, TN",2014,1054.7,50696.0,27019.0,649.0,175700.0,660.0,132
254,98115,"Seattle, WA",2014,1405.5,88633.0,48780.0,2898.0,491300.0,1218.0,490
255,94568,"San Francisco, CA",2014,2281.75,113616.0,44233.0,2485.0,575500.0,1785.0,607
256,19124,"Philadelphia, PA",2014,863.4444444444445,29703.0,14641.0,68.0,91200.0,651.0,12
257,95051,"San Jose, CA",2014,2175.6,101292.0,43702.0,2857.0,642400.0,1637.0,843
258,91335,"Los Angeles-Long Beach-Anaheim, CA",2014,1731.8333333333333,51398.0,21326.0,660.0,344000.0,1098.0,37
259,32828,"Orlando, FL",2014,1403.9166666666667,62169.0,27194.0,1106.0,199400.0,1055.0,0
260,32225,"Jacksonville, FL",2014,1090.5833333333333,62405.0,31319.0,876.0,171900.0,914.0,164
